Date,Open,High,Low,Close,Adj Close
28/03/2005,14.01,14.68,12.92,14.09,14.09
04/04/2005,14.53,14.76,11.52,12.62,12.62
11/04/2005,12.09,18.049999,11.2,17.74,17.74
18/04/2005,18.33,18.59,14.2,15.38,15.38
25/04/2005,15.29,16.92,14.19,15.31,15.31
02/05/2005,15.45,16.01,13.11,14.05,14.05
09/05/2005,14.11,17.700001,13.53,16.32,16.32
16/05/2005,16.870001,16.870001,13.07,13.14,13.14
23/05/2005,13.38,13.45,11.65,12.15,12.15
30/05/2005,12.69,13.45,11.52,12.15,12.15
06/06/2005,12.68,13.07,11.47,11.96,11.96
13/06/2005,12.12,12.12,10.78,11.48,11.48
20/06/2005,12.51,12.53,10.81,12.18,12.18
27/06/2005,12.73,12.78,11.38,11.4,11.4
04/07/2005,12.41,13.92,11.09,11.45,11.45
11/07/2005,10.96,11.44,10.13,10.33,10.33
18/07/2005,11.09,11.21,9.88,10.52,10.52
25/07/2005,11.12,11.73,10.24,11.57,11.57
01/08/2005,11.75,12.92,11.36,12.48,12.48
08/08/2005,12.56,13.29,11.51,12.74,12.74
15/08/2005,12.87,13.89,12.08,13.42,13.42
22/08/2005,13.67,14.2,13,13.72,13.72
29/08/2005,14.34,14.41,12.31,13.57,13.57
05/09/2005,14.17,14.18,11.96,11.98,11.98
12/09/2005,11.66,13.26,11.07,11.22,11.22
19/09/2005,12.17,14.39,11.83,12.96,12.96
26/09/2005,13.27,13.47,11.92,11.92,11.92
03/10/2005,12.37,15.63,11.98,14.59,14.59
10/10/2005,14.93,17.190001,14.83,14.87,14.87
17/10/2005,15.3,16.27,13.47,16.129999,16.129999
24/10/2005,16.18,16.440001,13.72,14.25,14.25
31/10/2005,14.04,15.66,12.5,13.17,13.17
07/11/2005,13.11,13.65,11.63,11.63,11.63
14/11/2005,11.99,12.69,10.96,11.12,11.12
21/11/2005,11.18,11.38,10.5,10.88,10.88
28/11/2005,11.34,12.23,10.94,11.01,11.01
05/12/2005,11.45,12.44,10.96,11.69,11.69
12/12/2005,10.86,11.81,10.15,10.68,10.68
19/12/2005,11.11,11.45,10.24,10.27,10.27
26/12/2005,10.97,12.07,10.83,12.07,12.07
02/01/2006,12.25,12.51,10.81,11,11
09/01/2006,11.35,11.61,10.83,11.23,11.23
16/01/2006,12.13,14.56,11.65,14.56,14.56
23/01/2006,14.44,14.48,11.72,11.97,11.97
30/01/2006,12.22,13.7,12.07,12.96,12.96
06/02/2006,13.43,13.73,12.27,12.87,12.87
13/02/2006,13.34,13.7,11.13,12.01,12.01
20/02/2006,12.36,12.64,11.42,11.46,11.46
27/02/2006,11.79,12.36,11.36,11.96,11.96
06/03/2006,12.22,13.34,11.79,11.85,11.85
13/03/2006,11.72,12.2,10.53,12.12,12.12
20/03/2006,12.11,12.21,10.79,11.19,11.19
27/03/2006,11.46,11.9,10.7,11.39,11.39
03/04/2006,11.47,12.31,11.03,12.26,12.26
10/04/2006,12.44,13.09,12.04,12.38,12.38
17/04/2006,12.8,13.02,11.02,11.59,11.59
24/04/2006,12.26,12.52,11.34,11.59,11.59
01/05/2006,11.83,12.59,11.18,11.62,11.62
08/05/2006,11.98,14.26,11.78,14.19,14.19
15/05/2006,15.12,18.01,12.98,17.18,17.18
22/05/2006,18.549999,19.870001,14.26,14.26,14.26
29/05/2006,15.39,18.719999,13.92,14.32,14.32
05/06/2006,14.97,20.75,14.97,18.120001,18.120001
12/06/2006,18.129999,23.809999,15.65,17.25,17.25
19/06/2006,16.059999,18.1,14.88,15.89,15.89
26/06/2006,16.549999,17,12.74,13.08,13.08
03/07/2006,13.29,14.77,12.77,13.97,13.97
10/07/2006,14.17,18.790001,13.1,18.049999,18.049999
17/07/2006,18.73,19.58,14.47,17.4,17.4
24/07/2006,17.08,17.08,14.06,14.33,14.33
31/07/2006,15.01,16.15,13.65,14.34,14.34
07/08/2006,14.98,15.73,14.07,14.3,14.3
14/08/2006,14.15,14.43,11.57,11.64,11.64
21/08/2006,12.4,12.73,11.93,12.31,12.31
28/08/2006,12.92,12.92,11.91,11.96,11.96
04/09/2006,12.8,14.49,12.43,13.16,13.16
11/09/2006,13.95,13.95,10.74,11.76,11.76
18/09/2006,12.28,13.28,11.28,12.59,12.59
25/09/2006,12.97,13.41,11.42,11.98,11.98
02/10/2006,12.45,12.91,11.55,11.56,11.56
09/10/2006,12.07,12.09,10.75,10.75,10.75
16/10/2006,11.07,12.03,10.44,10.63,10.63
23/10/2006,11.15,11.27,10.47,10.8,10.8
30/10/2006,11.36,11.76,10.34,11.16,11.16
06/11/2006,11.39,11.49,10.57,10.79,10.79
13/11/2006,11.19,11.31,10.04,10.05,10.05
20/11/2006,10.42,10.86,9.81,10.73,10.73
27/11/2006,11.26,12.55,10.58,11.66,11.66
04/12/2006,12.01,12.68,10.85,12.07,12.07
11/12/2006,11.88,11.93,9.39,10.05,10.05
18/12/2006,10.64,11.46,10.03,11.36,11.36
25/12/2006,12.03,12.03,10.59,11.56,11.56
01/01/2007,12.16,12.75,11.28,12.14,12.14
08/01/2007,12.48,12.83,10.14,10.15,10.15
15/01/2007,10.64,11.04,10.24,10.4,10.4
22/01/2007,10.77,11.6,9.87,11.13,11.13
29/01/2007,11.5,11.6,9.96,10.08,10.08
05/02/2007,10.53,11.56,10.24,11.1,11.1
12/02/2007,11.33,11.88,9.7,10.02,10.02
19/02/2007,10.62,10.72,10.01,10.58,10.58
26/02/2007,10.59,19.4,10.52,18.610001,18.610001
05/03/2007,20.4,20.41,13.48,14.09,14.09
12/03/2007,14.96,21.25,13.76,16.790001,16.790001
19/03/2007,15.82,15.82,11.21,12.95,12.95
26/03/2007,13.39,16.049999,12.91,14.64,14.64
02/04/2007,14.91,15.46,12.69,13.23,13.23
09/04/2007,13.26,14.15,12.13,12.2,12.2
16/04/2007,11.86,13.27,11.46,12.07,12.07
23/04/2007,12.6,13.89,12.41,12.45,12.45
30/04/2007,12.9,14.6,12.55,12.91,12.91
07/05/2007,13.34,13.85,12.54,12.95,12.95
14/05/2007,13.26,14.43,12.69,12.76,12.76
21/05/2007,13.24,14.36,12.08,13.34,13.34
28/05/2007,13.86,14.29,12.43,12.78,12.78
04/06/2007,13.47,17.09,13.21,14.84,14.84
11/06/2007,15.31,16.700001,12.58,13.94,13.94
18/06/2007,14.42,16.58,12.75,15.75,15.75
25/06/2007,16.5,18.98,14.62,16.23,16.23
02/07/2007,16.48,16.48,14.67,14.72,14.72
09/07/2007,15.34,17.91,14.79,15.15,15.15
16/07/2007,15.57,18.530001,15.06,16.950001,16.950001
23/07/2007,16.620001,24.17,16.389999,24.17,24.17
30/07/2007,23.639999,26.219999,19.68,25.16,25.16
